"N(LI)","Y(LIQUID,..-Q02)","Y(LIQUID,..-Q04)","Y(LIQUID,..-Q06)","Y(LIQUID,..-Q01)","Y(LIQUID,..-Q05)","Y(LIQUID,..-Q03)"
  8.80000E-01,  2.42369E-03,  9.98155E-02,  1.52351E-02,  7.63331E-01,  1.18492E-01,  7.03128E-04
  8.90000E-01,  2.05907E-03,  9.31380E-02,  1.27064E-02,  7.82706E-01,  1.08819E-01,  5.71635E-04
  9.00000E-01,  1.71984E-03,  8.61461E-02,  1.04223E-02,  8.02161E-01,  9.90935E-02,  4.57292E-04
  9.10000E-01,  1.40738E-03,  7.88446E-02,  8.37826E-03,  8.21691E-01,  8.93202E-02,  3.58703E-04
  9.20000E-01,  1.12303E-03,  7.12381E-02,  6.56951E-03,  8.41290E-01,  7.95045E-02,  2.74587E-04
  9.30000E-01,  8.68045E-04,  6.33315E-02,  4.99135E-03,  8.60954E-01,  6.96514E-02,  2.03769E-04
  9.40000E-01,  6.43636E-04,  5.51298E-02,  3.63901E-03,  8.80677E-01,  5.97658E-02,  1.45169E-04
  9.50000E-01,  4.50955E-04,  4.66380E-02,  2.50768E-03,  9.00454E-01,  4.98520E-02,  9.77966E-05
  9.60000E-01,  2.91098E-04,  3.78611E-02,  1.59258E-03,  9.20280E-01,  3.99144E-02,  6.07434E-05
  9.70000E-01,  1.65106E-04,  2.88039E-02,  8.88946E-04,  9.40152E-01,  2.99567E-02,  3.31739E-05
  9.80000E-01,  7.39716E-05,  1.94715E-02,  3.92057E-04,  9.60065E-01,  1.99829E-02,  1.43207E-05
  2.00000E-01,  2.31701E-02,  3.51556E-02,  5.35191E-01,  1.20145E-02,  1.72251E-01,  2.22218E-01
  1.99990E-01,  2.31702E-02,  3.51533E-02,  5.35197E-01,  1.20130E-02,  1.72243E-01,  2.22224E-01
  1.99980E-01,  2.31703E-02,  3.51511E-02,  5.35203E-01,  1.20115E-02,  1.72234E-01,  2.22230E-01
  1.97980E-01,  2.31848E-02,  3.47014E-02,  5.36406E-01,  1.17115E-02,  1.70517E-01,  2.23480E-01
  1.95980E-01,  2.31994E-02,  3.42541E-02,  5.37603E-01,  1.14168E-02,  1.68798E-01,  2.24729E-01
  1.93980E-01,  2.32142E-02,  3.38089E-02,  5.38795E-01,  1.11273E-02,  1.67077E-01,  2.25978E-01
  1.90000E-01,  2.32443E-02,  3.29299E-02,  5.41151E-01,  1.05662E-02,  1.63648E-01,  2.28461E-01
  1.80000E-01,  2.33233E-02,  3.07598E-02,  5.46979E-01,  9.24248E-03,  1.55004E-01,  2.34691E-01
  1.70000E-01,  2.34081E-02,  2.86442E-02,  5.52678E-01,  8.03621E-03,  1.46330E-01,  2.40904E-01
  1.60000E-01,  2.34996E-02,  2.65816E-02,  5.58248E-01,  6.94040E-03,  1.37633E-01,  2.47098E-01
  1.50000E-01,  2.35989E-02,  2.45707E-02,  5.63691E-01,  5.94849E-03,  1.28921E-01,  2.53270E-01
  1.40000E-01,  2.37073E-02,  2.26103E-02,  5.69011E-01,  5.05422E-03,  1.20200E-01,  2.59418E-01
  1.30000E-01,  2.38261E-02,  2.06993E-02,  5.74206E-01,  4.25169E-03,  1.11476E-01,  2.65541E-01
  1.20000E-01,  2.39568E-02,  1.88365E-02,  5.79279E-01,  3.53529E-03,  1.02756E-01,  2.71637E-01
  1.10000E-01,  2.41014E-02,  1.70210E-02,  5.84229E-01,  2.89973E-03,  9.40449E-02,  2.77704E-01
  1.00000E-01,  2.42621E-02,  1.52520E-02,  5.89056E-01,  2.34002E-03,  8.53477E-02,  2.83742E-01
  9.00000E-02,  2.44417E-02,  1.35289E-02,  5.93758E-01,  1.85144E-03,  7.66690E-02,  2.89751E-01
  8.00000E-02,  2.46437E-02,  1.18512E-02,  5.98333E-01,  1.42954E-03,  6.80128E-02,  2.95730E-01
  7.00000E-02,  2.48727E-02,  1.02187E-02,  6.02777E-01,  1.07012E-03,  5.93830E-02,  3.01679E-01
  6.00000E-02,  2.51341E-02,  8.63141E-03,  6.07083E-01,  7.69212E-04,  5.07830E-02,  3.07600E-01
  5.00000E-02,  2.54351E-02,  7.08932E-03,  6.11243E-01,  5.23080E-04,  4.22161E-02,  3.13493E-01
  4.00000E-02,  2.57835E-02,  5.59252E-03,  6.15249E-01,  3.28202E-04,  3.36853E-02,  3.19362E-01
  3.00000E-02,  2.61862E-02,  4.14056E-03,  6.19092E-01,  1.81283E-04,  2.51938E-02,  3.25206E-01
  2.00000E-02,  2.66409E-02,  2.73147E-03,  6.22779E-01,  7.92944E-05,  1.67451E-02,  3.31024E-01
